id,name,normalized_name,gender
222,Arnie Pye,arnie pye,m
237,Nurse,nurse,f
256,Karl,karl,m
223,Radio Announcer,radio announcer,m
313,British Commentator,british commentator,m
270,DANIELSON,danielson,m
332,Dr. Julius Hibbert,dr julius hibbert,m
404,Groundskeeper Willie,groundskeeper willie,m
426,Troy McClure,troy mcclure,m
347,Lionel Hutz,lionel hutz,m
417,HERB,herb,m
414,Mona Simpson,mona simpson,f
335,"Roger Meyers, Jr.",roger meyers jr,m
351,Blue-Haired Lawyer,blue-haired lawyer,m
349,Dr. Nick Riviera,dr nick riviera,m
373,Artie Ziff,artie ziff,m
353,Larry,larry,m
370,Principal Dondelinger,principal dondelinger,m
427,Emily,emily,f
356,Akira,akira,m
429,Jack,jack,m
330,Track Announcer,track announcer,m
346,Devil,devil,m
433,Farmer,farmer,m
345,Reporter,reporter,m
331,MURDOCK,murdock,m
442,Professor Jonathan Frink,professor jonathan frink,m
518,Snake Jailbird,snake jailbird,m
464,Miss Hoover,miss hoover,f
465,BERGSTROM,bergstrom,m
511,MICHAEL,michael,m
526,Pilot,pilot,m
478,John,john,m
508,Host,host,m
436,Guard,guard,m
477,Gloria,gloria,f
479,Captain,captain,m
496,Mrs. Glick,mrs glick,f
516,Doctor,doctor,m
533,BARBARA,barbara,f
517,Dave,dave,m
514,Wiseguy,wiseguy,m
568,Fat Tony,fat tony,m
570,Louie,louie,m
598,Rabbi Hyman Krustofsky,rabbi hyman krustofsky,m
591,Luann Van Houten,luann van houten,f
615,Colonel,colonel,m
638,Football Announcer,football announcer,m
567,Executive,executive,m
603,D.J.,dj,m
645,Becky,becky,f
585,Instructor,instructor,m
652,Aide,aide,m
626,Lunchlady Doris,lunchlady doris,f
699,Sideshow Mel,sideshow mel,m
742,Tour Guide,tour guide,m
657,HUGH,hugh,m
758,Tammy,tammy,f
767,Employee,employee,m
741,Mike Scioscia,mike scioscia,m
668,Charlie,charlie,m
715,Nick,nick,m
817,Kirk Van Houten,kirk van houten,m
785,Lurleen Lumpkin,lurleen lumpkin,f
774,God,god,m
803,Nigel Bakerbutcher,nigel bakerbutcher,m
944,Captain Horatio McCallister,captain horatio mccallister,m
963,Hans Moleman,hans moleman,m
923,Squeaky-Voiced Teen,squeaky-voiced teen,m
978,LANLEY,lanley,m
921,Laura Powers,laura powers,f
908,Bumblebee Man,bumblebee man,m
880,Santa Claus,santa claus,m
1078,Gary Chalmers,gary chalmers,m
1046,Baseball Announcer,baseball announcer,m
1071,ARTIE,artie,m
1197,George H.W. Bush,george hw bush,m
1108,Warden,warden,m
1239,GOODMAN,goodman,m
1225,RUTH,ruth,f
1270,Mindy,mindy,f
1223,Edward,edward,m
1260,Accountant,accountant,m
1403,Bill Clinton,bill clinton,m
1337,James Woods,james woods,m
1524,Jessica,jessica,f
1370,STILLWATER,stillwater,m
1333,Technician,technician,m
1435,Luigi,luigi,m
1452,Old Jewish Man,old jewish man,m
1501,Birch Barlow,birch barlow,m
1444,Auctioneer,auctioneer,m
1476,Allison,allison,f
1583,Number One,number one,m
1751,Producer,producer,m
1875,Brandine Del Roy,brandine del roy,f
1899,HURLBUT,hurlbut,m
1867,Disco Stu,disco stu,m
1911,Chester Lampwick,chester lampwick,m
1923,Macarthur Parker,macarthur parker,m
1858,Detective,detective,m
1876,Evelyn,evelyn,f
2040,Hank Scorpio,hank scorpio,m
2000,D'arcy,darcy,f
2113,Dr. Foster,dr foster,m
2087,Belle,belle,f
2187,Cecil Terwilliger,cecil terwilliger,m
2165,SHARY,shary,f
2209,Rex Banner,rex banner,m
2277,Duffman,duffman,m
2304,Armin,armin,m
2269,Commandant,commandant,m
2303,Sgt. Skinner,sgt skinner,m
2396,Cooder,cooder,m
2405,Glen,glen,m
2430,Renee,renee,f
2579,Alec Baldwin,alec baldwin,m
2578,Kim Basinger,kim basinger,f
2553,Alex,alex,f
2660,Mrs. Muntz,mrs muntz,f
2630,Mark Hamill,mark hamill,m
2580,Ron Howard,ron howard,m
2947,Jim Hope,jim hope,m
2940,Meathook,meathook,m
2949,Male Executive,male executive,m
3081,Little Vicki,little vicki,f
3076,Eduardo,eduardo,m
3011,Betty White,betty white,f
3008,Rachel,rachel,f
3069,Sheriff,sheriff,m
3040,Casino Manager,casino manager,m
3155,Johnny Tightlips,johnny tightlips,m
3350,Hobo,hobo,m
3377,Pierce Brosnan,pierce brosnan,m
3498,BUCK,buck,m
3503,Zack,zack,m
3440,Gabriel,gabriel,m
3654,Mick Jagger,mick jagger,m
3688,Cookie Kwan,cookie kwan,f
3817,Sara Sloane,sara sloane,f
3800,George Plimpton,george plimpton,m
3759,Colt,colt,m
3838,Stark Richdale,stark richdale,m
3922,Frink Senior,frink senior,m
3852,Grady,grady,m
4035,Henry VIII,henry viii,m
4086,Simon,simon,m
4204,Eliza,eliza,f
4169,10-Year-Old Homer,10-year-old homer,m
4185,Nash Castor,nash castor,m
4203,Inspector Wiggum,inspector wiggum,m
4247,Goose Gladwell,goose gladwell,m
4405,Tab Spangler,tab spangler,m
4439,Father Sean,father sean,m
4386,Bender,bender,m
4539,Mary,mary,f
4577,Coach Krupt,coach krupt,m
4558,MASON,mason,m
4606,Charles Heathbar,charles heathbar,m
4627,Richard Dean Anderson,richard dean anderson,m
4651,Bligh,bligh,m
4704,TABITHA,tabitha,f
4987,Colby,colby,m
5032,Milo,milo,m
5014,Ted Nugent,ted nugent,m
5096,Prof. August,prof august,m
5252,Alberto,alberto,m
5586,Jakob,jakob,m
5528,Princess Penelope,princess penelope,f
5641,THE REAL BOB,the real bob,m
5653,Simon Cowell,simon cowell,m
5734,Fbi Supervisor,fbi supervisor,m
5807,Randy Newman,randy newman,m
5786,Dr. Kissingher,dr kissingher,m
5877,Wayne,wayne,m
5839,Dr. Zander,dr zander,m
5824,Walther Hotenhoffer,walther hotenhoffer,m
5829,Chong,chong,m
5939,Robert Marlowe,robert marlowe,m
5933,Slick Publisher,slick publisher,m
6087,Rowan Priddis,rowan priddis,m
6108,CAIN,cain,m
6212,Terence,terence,m
6326,Rev. Hooper,rev hooper,m
6297,Ms. Cantwell,ms cantwell,f
6240,Lloyd,lloyd,m
6623,MOOG,moog,m
6740,KEMI,kemi,f
6647,MAXINE LOMBARD,maxine lombard,f
2,Homer Simpson,homer simpson,m
15,C. Montgomery Burns,c montgomery burns,m
139,Krusty the Clown,krusty the clown,m
140,Rev. Timothy Lovejoy,rev timothy lovejoy,m
801,Comic Book Guy,comic book guy,m
56,Narrator,narrator,m
1413,Cletus Spuckler,cletus spuckler,m
2369,Gil Gunderson,gil gunderson,m
1508,The Rich Texan,the rich texan,m
1114,Rainier Wolfcastle,rainier wolfcastle,m
1975,Manjula Nahasapeemapetilon,manjula nahasapeemapetilon,f
3843,Declan Desmond,declan desmond,m
3057,Lindsay Naegle,lindsay naegle,f
5947,Annie Crawford,annie crawford,f
2256,Frank Grimes,frank grimes,m
6190,Dan Gillick,dan gillick,m
2065,Drederick Tatum,drederick tatum,m
5152,Chazz Busby,chazz busby,m
3853,Julio,julio,m
5848,Raymondo,raymondo,m
5625,Shauna Chalmers,shauna chalmers,f
1336,Female Executive,female executive,f
3390,Judge Harm,judge harm,f
2513,Ray Magini,ray magini,m
6127,Lady Gaga,lady gaga,f
108,Herman Hermann,herman hermann,m
6720,ELON MUSK,elon musk,m
6500,Diggs,diggs,m
1653,Jay,jay,m
5369,Parson,parson,m
4234,CHLOE,chloe,f
5830,Cheech,cheech,m
2675,Wally,wally,m
844,Llewellyn Sinclair,llewellyn sinclair,m
3266,L.T. Smash,lt smash,m
1548,Ben,ben,m
6654,PROFESSOR FARNSWORTH,professor farnsworth,m
156,Security Guard,security guard,m
5012,Dwight,dwight,m
3995,Roofi,roofi,m
3289,Howard K. Duff VIII,howard k duff viii,m
6401,Isabel Gutierrez,isabel gutierrez,f
5453,Lyle McCarthy,lyle mccarthy,m
5547,Bob Costas,bob costas,m
2710,Saleswoman,saleswoman,f
1577,Dr. Zweig,dr zweig,f
5228,Patrick,patrick,m
4715,Lunchlady Dora,lunchlady dora,f
5301,Juliet Hobbes,juliet hobbes,f
2973,Brother Faith,brother faith,m
3159,Jesse Grass,jesse grass,m
4335,Madam Wu,madam wu,f
669,Horst,horst,m
3677,Mrs. McConnell,mrs mcconnell,f
4116,Gina Vendetti,gina vendetti,f
2859,Lifeways Editor,lifeways editor,m
4821,Captain Jack,captain jack,m
6606,CAPTAIN BOWDITCH,captain bowditch,m
5222,Ron Rabinowitz,ron rabinowitz,m
5728,Martha Stewart,martha stewart,f
1770,Officer Goodman,officer goodman,m
1634,Evan Conover,evan conover,m
1868,Agent Johnson,agent johnson,m
